dzip_name,dem_path,dem_size,dzip_size,enc_zstd_size,enc_gz_size
NR/ne16_118.dz,ne16_118.dem,980337,121078,95153,120756
NR/ne16_139.dz,ne16_139.dem,1013976,123763,102710,129171
NR/ne2_006.dz,ne2_006.dem,238884,8518,7950,10466
NR/ne2_007.dz,ne2_007.dem,87764,9010,8199,9606
NR/ne2_018.dz,ne2_018.dem,229472,23450,20633,24728
NR/nelend_155.dz,nelend_155.dem,4522677,254795,173775,233927
NR/net_133.dz,net_133.dem,1379932,113930,89085,113066
NR/net_152.dz,net_152.dem,1804389,158575,126884,158203
NR/oblv_018.dz,oblv_018.dem,307844,29559,22756,27155
NR/oblv_019.dz,oblv_019.dem,289362,28536,23705,27789
NR/oblv_020.dz,oblv_020.dem,264890,33828,32014,38196
NR/oblv_021.dz,oblv_021.dem,395894,39975,35473,43766
NR/os1_712.dz,os1_712.dem,29661724,1467859,749719,1135777
NR/ouv_102.dz,ouv_102.dem,2517461,157930,103086,137117
NR/ouv_108.dz,ouv_108.dem,2069396,146805,120498,158868
NR/ouv_112.dz,ouv_112.dem,2256729,155169,129509,169639
NR/ouv_147.dz,ouv_147.dem,3622852,197035,133402,181249
NR/ow3_043.dz,ow3_043.dem,444068,56306,42980,51220
NR/ow3_047.dz,ow3_047.dem,504110,62859,50396,59950
NR/ow3_108.dz,ow3_108.dem,709986,72122,53603,65830
NR/pag3_007.dz,pag3_007.dem,124046,15400,14247,16665
NR/pag_008.dz,pag_008.dem,132736,13139,12009,14001
NR/pag_009.dz,pag_009.dem,192784,16107,13751,16384
NR/pag_010.dz,pag_010.dem,293058,16729,13323,16681
NR/pag_011.dz,pag_011.dem,435024,25011,20531,26605
NR/pag_013.dz,pag_013.dem,358416,22011,15768,20286
NR/pb1_033.dz,pb1_033.dem,435481,60611,49661,58534
